,Date,sentiment_score,avg_sentiment,ticker,Open,High,Low,Close,Adj Close,Volume,month,day,is_quarter_end,predicted
2505,2019-06-02,-0.497975,Negative,AAPL,43.662498,43.892502,43.212502,43.560001,42.112808,112958400.0,6,6,1,41.50734263187353
2506,2019-06-03,0.4088428571428571,Positive,AAPL,43.6675,43.872501,43.485001,43.630001,42.361382,83241600.0,6,0,1,41.520672875005495
2508,2019-06-05,0.5566416666666667,Positive,AAPL,51.072498,52.209999,50.875,52.119999,50.604519,129772400.0,6,2,1,49.67506693633604
2509,2019-06-06,0.8458466666666666,Positive,AAPL,45.77,46.3675,45.537498,46.305,45.131729,90105200.0,6,3,1,43.940157078100675
2511,2019-06-08,0.6105,Positive,AAPL,49.077499,49.517502,48.509998,49.25,48.00211,143299200.0,6,5,1,46.82344257883681
2512,2019-06-09,0.9918333333333332,Positive,AAPL,53.512501,53.605,53.127499,53.314999,52.161549,77449200.0,6,6,1,51.13612536354693
2514,2019-06-11,0.7745428571428572,Positive,AAPL,64.192497,64.372498,63.842499,64.309998,62.918678,75864400.0,6,1,1,53.96653249412361
2515,2019-06-12,0.7153499999999999,Positive,AAPL,66.870003,67.75,66.824997,67.677498,66.412109,106075600.0,6,2,1,53.96653249412361
2516,2019-06-13,0.3544285714285714,Positive,AAPL,48.674999,49.197498,48.400002,48.537498,47.307659,86698400.0,6,3,1,46.78757134665487
2517,2019-06-14,0.26144,Positive,AAPL,47.887501,48.397499,47.575001,48.185001,46.964096,75046000.0,6,4,1,45.980323747290655
2520,2019-06-17,0.716488888888889,Positive,AAPL,48.224998,48.740002,48.0425,48.4725,47.244312,58676400.0,6,0,1,46.31874488446938
2521,2019-06-18,0.688425,Positive,AAPL,49.012501,50.072498,48.802502,49.612499,48.355419,106204000.0,6,1,1,46.78757134665487
2522,2019-06-19,0.55942,Positive,AAPL,49.919998,49.970001,49.327499,49.467499,48.214092,84496800.0,6,2,1,48.333323534704185
2523,2019-06-20,0.4969307692307693,Positive,AAPL,50.092499,50.1525,49.5075,49.865002,48.601532,86056000.0,6,3,1,48.333323534704185
2524,2019-06-21,0.9800285714285714,Positive,AAPL,49.700001,50.212502,49.537498,49.695,48.435841,191202400.0,6,4,1,46.836259984950274
2527,2019-06-24,0.8521020408163266,Positive,AAPL,49.634998,50.040001,49.5425,49.645,48.387108,72881600.0,6,0,1,46.78303987819703
2528,2019-06-25,0.9221770833333333,Positive,AAPL,49.607498,49.814999,48.822498,48.892502,47.653671,84281200.0,6,1,1,46.78757134665487
2529,2019-06-26,0.8868520833333333,Positive,AAPL,49.442501,50.247501,49.337502,49.950001,48.684376,104270000.0,6,2,1,46.78757134665487
2530,2019-06-27,0.7353999999999999,Positive,AAPL,50.072498,50.392502,49.892502,49.935001,48.669754,83598800.0,6,3,1,48.333323534704185
2531,2019-06-28,0.81444,Positive,AAPL,49.669998,49.875,49.262501,49.48,48.226276,124442400.0,6,4,1,46.77438319349232
2534,2019-07-01,0.5053,Positive,AAPL,37.174999,37.2075,36.474998,36.982498,35.753822,219111200.0,7,0,0,34.82990503305387
2535,2019-07-02,0.9864285714285714,Positive,AAPL,43.099998,43.485001,42.584999,42.735001,41.315205,126966800.0,7,1,0,40.97140143800507
2536,2019-07-03,0.8631,Positive,AAPL,43.467499,43.610001,43.005001,43.125,41.871059,99185600.0,7,2,0,41.14255495404157
2538,2019-07-05,0.6637000000000001,Positive,AAPL,51.470001,51.855,50.2075,50.715,49.240368,155054800.0,7,4,0,49.44967415196654
2541,2019-07-08,0.8004125000000001,Positive,AAPL,48.852501,49.889999,48.455002,49.759998,48.499184,133457600.0,7,0,0,46.81434156820408
2543,2019-07-10,0.9075089285714286,Positive,AAPL,56.567501,57.482498,56.459999,56.764999,55.536907,122306000.0,7,2,0,53.94870398530009
2544,2019-07-11,0.8322229166666667,Positive,AAPL,64.684998,65.087502,64.527496,64.857498,63.644836,94940400.0,7,3,0,53.96653249412361
2548,2019-07-15,0.3936,Positive,AAPL,51.022499,51.467499,51.0,51.302502,50.002613,67789600.0,7,0,0,49.36707962575488
